00:04 → S2 → 00:01
00:04 → S2 → S1 → 00:01
00:01 → S1 → 00:04
00:01 → S1 → 00:04
00:01 → S1 → 00:04
00:01 → S1 → S2 → 00:04
00:01 → S1 → S2 → 00:04
00:01 → S1 → S2 → 00:04
